,name (zolpidem),similarity (zolpidem),name (eszopiclone),similarity (eszopiclone),name (zaleplon),similarity (zaleplon),name (trazodone),similarity (trazodone),name (amitriptyline),similarity (amitriptyline),name (mirtazapine),similarity (mirtazapine),name (doxepin),similarity (doxepin),name (lorazepam),similarity (lorazepam),name (clonazepam),similarity (clonazepam),name (temazepam),similarity (temazepam),name (triazolam),similarity (triazolam),name (melatonin),similarity (melatonin),name (atorvastatin),similarity (atorvastatin)
0,*zolpidem,0.9673627614974976,eszopiclone's,0.9422774910926819,zaleplone,0.9433673620223999,*trazodone,0.9560245275497437,amitriptylin,0.9596786499023438,*mirtazapine,0.9700242280960083,doxepine,0.954021692276001,*lorazepam,0.9595568180084229,*clonazepam,0.968582034111023,s-temazepam,0.934742271900177,miazolam,0.9110353589057922,ofmelatonin,0.9419083595275879,torvastatin,0.9677706956863403
1,zolpidem-,0.9259030222892761,-zopiclone,0.9024467468261719,zopiclone,0.8682036399841309,rrazodone,0.9466468095779419,amitriptyline+nortriptyline,0.9594402313232422,esmirtazapine,0.9671199321746826,doxepin's,0.8772953748703003,6.lorazepam,0.94865882396698,clonazepame,0.9579446315765381,-temazepam,0.925560712814331,triazolam-,0.903397798538208,melatonin/melatonin,0.929655909538269,*atorvastatin,0.9633772373199463
2,-zolpidem,0.9206866025924683,zopiclone,0.902225136756897,zopiclon,0.8581759929656982,trazodone/,0.9342842102050781,amitriptyline's,0.9449723362922668,normirtazapine,0.9478927850723267,-doxepin,0.8762904405593872,lorazepam1mg,0.9452807903289795,meclonazepam,0.940150260925293,temazepam's,0.9192710518836975,nazolam,0.900880753993988,melatonin-a,0.9241770505905151,atorvastatine,0.9618682861328125
3,zopiclone/zolpidem,0.919021487236023,r-zopiclone,0.8984034061431885,zolpidem,0.8519642353057861,o/n-trazodone,0.9243977665901184,butriptyline,0.9414447546005249,mirtazapin,0.9456222057342529,e-doxepin,0.8740841746330261,/lorazepam,0.9430263042449951,clonazepam's,0.939032793045044,premazepam,0.904410719871521,triazolam's,0.8995686769485474,melatonine,0.9240586757659912,2.atorvastatin,0.9579534530639648
4,zolpidem-er,0.9176669716835022,s-zopiclone,0.8894984126091003,zopiclone/zolpidem,0.8366473913192749,7.trazodone,0.922897219657898,amitriptyline/nortriptyline,0.9349079132080078,venlafaxine-mirtazapine,0.943027913570404,amitriptyline,0.873583197593689,-lorazepam,0.9330379366874695,-clonazepam,0.9377753734588623,oxazepam,0.9011400938034058,alprazolam,0.8810762166976929,melatonins,0.8987549543380737,+atorvastatin,0.9546986818313599
5,zolpidem-mr,0.9113548994064331,d-zopiclone,0.8736835718154907,zopiclone's,0.8358199596405029,-trazodone,0.9051084518432617,amitriptyline-,0.9318815469741821,-mirtazapine,0.937930703163147,c-doxepin,0.8682088255882263,lorazepa,0.9311527609825134,klonazepam,0.937472939491272,tazepam,0.8960638046264648,triazolam-lever,0.8674948811531067,no/melatonin,0.8971707820892334,ezetimibe+atorvastatin,0.9529526829719543
6,zolpidem's,0.9109811186790466,zopiclone/zolpidem,0.8651915788650513,quazepam,0.8332557678222656,trazodone's,0.8961815237998962,-amitriptyline,0.9267681837081909,mertazapine,0.9262093305587769,nortrimipramine,0.8671339750289917,prnlorazepam,0.9311152696609497,chlonazepam,0.9233770370483398,clorazepam,0.8937133550643921,brotizolam,0.8627085089683533,/melatonin,0.8959096670150757,simvastatin/atorvastatin,0.9514482021331787
7,zolpidem-ir,0.9011613726615906,zopiclon,0.8577748537063599,lormetazepam,0.8318101167678833,d4-trazodone,0.8942224979400635,amitriptylinum,0.9264833331108093,mirtazapine's,0.9208188056945801,amitriptyline+nortriptyline,0.8638859987258911,lorazepam.,0.9289007186889648,clonazepam-,0.9139568209648132,larazepam,0.8877527117729187,estazolam,0.8622853755950928,melatonin/h,0.8858993053436279,simvastatin,0.944500207901001
8,zolpidem5mg,0.8944025039672852,armodafinil,0.8535816669464111,-zopiclone,0.8303440809249878,mcpp/trazodone,0.8941727876663208,amitriptyline/haloperidol,0.9242773056030273,mitazapine,0.9135303497314453,amitriptylin,0.85810786485672,clorazepam,0.9275305867195129,conazepam,0.9052619934082031,pentazepam,0.8856590390205383,non-triazolam,0.8599376678466797,sr-melatonin,0.8845289945602417,atorvastatin-ezetimibe,0.9433740377426147
9,zopiclone,0.8770608901977539,modafinil/armodafinil,0.8511698842048645,eszopiclone,0.8289706110954285,mirtazapine,0.8848715424537659,nortriptyline,0.9241923093795776,demethylmirtazapine/mirtazapine,0.9096482396125793,z-doxepin,0.8567885160446167,lorazepam's,0.9142455458641052,clonazepan,0.9034968614578247,loazepam,0.8854513168334961,zopiclone,0.8561253547668457,h-melatonin,0.8839857578277588,atorvastatin-niacin,0.9399054050445557
10,non-zolpidem,0.8760732412338257,zolpidem,0.8337931036949158,5-oxozaleplon,0.8220754861831665,trazodone-,0.8816136121749878,amitriptylline,0.9214856624603271,mirtazapine-,0.907477617263794,-amitriptyline,0.8543004989624023,s-lorazepam,0.9137054681777954,fonazepam,0.9029741287231445,prazepam,0.8847798705101013,flubromazolam,0.8526807427406311,dmh+melatonin,0.8834645748138428,-atorvastatin,0.9374287128448486
11,zolpiden,0.8724826574325562,zopiclone's,0.8332487940788269,s-zopiclone,0.8209325075149536,*mirtazapine,0.8787050843238831,amitriptylinoxide,0.918377697467804,venlafaxine,0.9022148847579956,nortriptyline,0.8498300313949585,lorazepam/diazepam,0.9099483489990234,cloniprazepam,0.9013009071350098,bromazepam,0.8844332695007324,triazolamers,0.852591872215271,melatonin-d3,0.8810569047927856,*rosuvastatin,0.9353311061859131
12,zaleplon,0.8519642353057861,zaleplon,0.8289706110954285,eszopiclone's,0.8203994631767273,mirtazepine,0.8761812448501587,notriptyline,0.912583589553833,paroxetine,0.8978549242019653,amitriptylline,0.8494271636009216,delorazepam,0.9011344313621521,sertraline/clonazepam,0.8924680948257446,nitrazepam,0.8794540166854858,adinazolam,0.8507254123687744,ai-melatonin,0.8799548745155334,rosuvastatin,0.9350554943084717
13,zopiclon,0.8488370180130005,modafinil,0.8222951292991638,triazolam,0.8178119659423828,sertraline,0.8686589002609253,amitiptyline,0.9125285148620605,citalopram,0.8966013193130493,butriptyline,0.8472298979759216,lorazepam/haloperidol,0.8958456516265869,clorazepam,0.8895667195320129,*lorazepam,0.8787105083465576,micazolam,0.8496213555335999,pineal/melatonin,0.8779330849647522,atorvastatin/ezetimibe,0.9344632625579834
14,flurazepam,0.8471155166625977,alprazolam,0.8185837268829346,zolpidem-er,0.8135488629341125,paroxetine,0.8642036318778992,imipramine,0.9124871492385864,*olanzapine,0.8964829444885254,amitriptyline/haloperidol,0.8438091278076172,lorazepam-,0.8907012343406677,*lorazepam,0.8860468864440918,norprazepam,0.8780338764190674,alprazolam8,0.8480277061462402,pr-melatonin,0.8746496438980103,atorvastatin-fenofibrate,0.9317244291305542
15,alprazolam,0.8458839058876038,brexpiprazole,0.817475438117981,r-zopiclone,0.8133872151374817,sertraline/clonazepam,0.8622026443481445,amytriptyline,0.9122340679168701,sertraline,0.8950983881950378,trimipramine,0.8420066833496094,lorazepan,0.8838993310928345,lopirazepam,0.8810876607894897,lormetazepam,0.8771397471427917,aprazolam,0.8476558923721313,post-melatonin,0.8744757771492004,atorvastatin's,0.9315115213394165
16,*lorazepam,0.8454514145851135,r-modafinil,0.8146718144416809,brotizolam,0.8127713203430176,esmirtazapine,0.8607807755470276,amitriptyline.,0.9095654487609863,venlafaxine-quetiapine,0.8944262862205505,nortriptylin,0.8416585922241211,postlorazepam,0.8805128335952759,/lorazepam,0.8750013709068298,temazepan,0.875261127948761,etizolam,0.8459270000457764,melatonin's,0.8730738162994385,non-atorvastatin,0.929930567741394
17,clonazepam,0.8453529477119446,ramelteon,0.8141281604766846,*zolpidem,0.810930609703064,mertazapine,0.8580502867698669,amitriptyline-perphenazine,0.9069478511810303,*quetiapine,0.8917011618614197,amitriptyline/nortriptyline,0.8407074213027954,post-lorazepam,0.8770522475242615,6.lorazepam,0.8715247511863708,camazepam,0.8727356791496277,flurazepame,0.8456805348396301,ir+melatonin,0.8680462837219238,pravastatin,0.9294027090072632
