zolpidem,insomnia,sleep,drowsiness,dizziness,diarrhea,,,,,,,
eszopiclone,insomnia,sleep,headache,somnolence,dizziness,rash,anxiety,hallucinations,,,,
zaleplon,insomnia,sleep,fever,constipation,dyspepsia,arthritis,myalgia,anxiety,depression,bronchitis,,
trazodone,insomnia,sleep,depression,edema,drowsiness,fatigue,diarrhea,nasal,congestion,anxiety,priapism,
amitriptyline,insomnia,sleep,depression,weight,gain,constipation,dizziness,headache,somnolence,migraine,,
mirtazapine,insomnia,sleep,depression,dizziness,confusion,headache,agitation,anxiety,fatigue,nausea,vomiting,sweating
doxepin,insomnia,sleep,depression,somnolence,nausea,anxiety,,,,,,
lorazepam,insomnia,sleep,seizure,anxiety,depression,sedation,dizziness,weakness,unsteadiness,alcohol,panic,
clonazepam,insomnia,sleep,seizure,panic,disorder,depression,restless,leg,mania,,,
temazepam,insomnia,sleep,drowsiness,headache,nervousness,fatigue,lethargy,dizziness,nausea,,,
triazolam,insomnia,sleep,somnolence,dizziness,fatigue,nausea,,,,,,
suvorexant,insomnia,sleep,diarrhea,headache,somnolence,dizziness,cough,,,,,
lemborexant,insomnia,sleep,somnolence,fatigue,headache,,,,,,,
melatonin,insomnia,sleep,dizziness,headache,nausea,drowsiness,jetlag,palpitations,,,,
atorvastatin,stroke,revascularization,myopathy,rhabdomyolysis,,,,,,,,
