drowsy,drowse,drowsed,drowsier,drowsiness,,,
dizzy,dizzier,dizziest,dizzily,dizzying,dizzyingly,,
depression,depressed,depresses,depressing,depressingly,depressions,depressive,depressives
fatigue,fatigued,fatigues,fatiguing,,,,
anxiety,anxieties,anxious,anxiously,,,,
nausea,nauseate,nauseated,nauseates,nauseating,nauseatingly,nauseous,nauseousness
sleep,sleepier,sleepiest,sleepily,sleepiness,sleeping,sleeps,sleepy
insomnia,insomniac,insomniacs,,,,,
fever,fevered,feverish,feverishly,fevers,,,
vomit,vomited,vomiting,vomits,,,,
sedation,sedate,sedated,sedately,sedateness,,,
weak,weaken,weakened,weakening,weakens,weaker,weakest,weakist
