,name (zolpidem),similarity (zolpidem),name (eszopiclone),similarity (eszopiclone),name (zaleplon),similarity (zaleplon),name (trazodone),similarity (trazodone),name (amitriptyline),similarity (amitriptyline),name (mirtazapine),similarity (mirtazapine),name (doxepin),similarity (doxepin),name (lorazepam),similarity (lorazepam),name (clonazepam),similarity (clonazepam),name (temazepam),similarity (temazepam),name (triazolam),similarity (triazolam),name (melatonin),similarity (melatonin),name (atorvastatin),similarity (atorvastatin)
0,Zolpidem,0.6805732250213623,ramelteon,0.7341597676277161,ropinirole,0.7242302298545837,antidepressant_trazodone,0.700647234916687,tricyclic_antidepressants,0.7087904214859009,clomipramine,0.7451611757278442,sertraline_Zoloft,0.6853643655776978,alprazolam,0.6089882850646973,Alprazolam,0.7297306060791016,Temazepam,0.7417381405830383,Valium_diazepam,0.7139462232589722,hormone_melatonin,0.7699569463729858,clopidogrel,0.6937772035598755
1,pregabalin,0.6305643916130066,desvenlafaxine_succinate,0.7319433689117432,zolpidem_tartrate,0.717444896697998,fluvoxamine,0.672600269317627,buspirone,0.7031109929084778,venlafaxine_Effexor,0.7195351719856262,clomipramine,0.6841539144515991,diazepam,0.5849254131317139,Clonazepam,0.7067183256149292,diazepam_Valium,0.6567423343658447,sertraline_Zoloft,0.7077032327651978,melatonin_hormone,0.7578248977661133,valsartan,0.6913744211196899
2,anxiolytic,0.6229763031005859,pramipexole,0.7192552089691162,topiramate_Topamax,0.7130199670791626,##mg_###mg,0.6694356799125671,clomipramine,0.6964031457901001,buspirone,0.7186138033866882,topiramate_Topamax,0.6841269731521606,valium,0.5761967897415161,Diazepam,0.7052444219589233,Amitriptyline,0.6450247168540955,Midazolam,0.7012323141098022,Melatonin,0.739480197429657,rosuvastatin,0.687711775302887
3,ramelteon,0.6224217414855957,MIRAPEX,0.7119547128677368,sertraline_Zoloft,0.7089691162109375,Extended_Release_Tablets,0.6679162383079529,tricyclic_antidepressant,0.6957671642303467,nefazodone,0.7102432250976562,venlafaxine_Effexor,0.6816478967666626,vicodin,0.5577768087387085,alprazolam_Xanax,0.6715120077133179,Phenobarbital,0.6342822909355164,cetirizine,0.6964529752731323,sleep_hormone_melatonin,0.6772413849830627,pioglitazone,0.6858413219451904
4,buspirone,0.6222556829452515,oxcarbazepine,0.7118709683418274,Keppra_XR,0.7086162567138672,tramadol_hydrochloride,0.6627779006958008,sertraline,0.6933041214942932,anxiolytic,0.7047328948974609,ramelteon,0.6815605163574219,Ativan,0.5574901700019836,Klonopin,0.6684424877166748,oxazepam,0.6247251033782959,venlafaxine_Effexor,0.6958353519439697,serotonin,0.66582190990448,simvastatin,0.6853482723236084
5,pramipexole,0.6212159395217896,pregabalin,0.711251974105835,Zaleplon,0.7047002911567688,metformin_HCl,0.656135082244873,spironolactone,0.6838951110839844,sertraline_Zoloft,0.7033665776252747,Catapres,0.677898645401001,soma,0.5520167350769043,Lorazepam,0.6628752946853638,Diazepam,0.6227191686630249,NUCYNTA_TM,0.6950169205665588,neurotransmitter_serotonin,0.6153684258460999,Atorvastatin,0.679054319858551
6,eszopiclone,0.6171155571937561,ropinirole,0.708876371383667,orally_disintegrating_tablets,0.7030028104782104,serotonin_norepinephrine_reuptake_inhibitor,0.6546837091445923,clonidine,0.6831955909729004,oxcarbazepine,0.7023028135299683,Zoloft_sertraline,0.6778643131256104,adderall,0.5470154881477356,diazepam_Valium,0.6536610126495361,Zopiclone,0.6214372515678406,alprazolam_Xanax,0.6947681903839111,circadian_rhythms,0.6152420043945312,irbesartan,0.6773005723953247
7,scopolamine,0.6150317788124084,Circadin,0.7045540809631348,selegiline,0.7020944356918335,desloratadine,0.6534924507141113,oxcarbazepine,0.681574821472168,zafirlukast,0.701898455619812,ACIPHEX,0.6738099455833435,cheap_soma,0.5454238653182983,antianxiety_drug,0.6492334008216858,anti_depressant_tablets,0.6191751956939697,terazosin,0.6937867999076843,orexin,0.6134260892868042,statin,0.6735119819641113
8,dexmedetomidine,0.6150315999984741,dexmedetomidine,0.7012560367584229,budesonide_inhalation_suspension,0.7010297775268555,cyclobenzaprine,0.6472669243812561,Venlafaxine,0.6788859367370605,venlafaxine,0.699073314666748,esomeprazole_Nexium,0.6729189157485962,Lorazepam,0.5451651215553284,Xanax,0.6466130614280701,Co_proxamol,0.6162800788879395,Prilosec_omeprazole,0.6875424385070801,melatonin_supplements,0.6121419072151184,ramipril,0.6719526648521423
9,gabapentin,0.6128526329994202,ULORIC,0.699001133441925,prochlorperazine,0.7008604407310486,sertraline_Zoloft,0.6462955474853516,sertraline_Zoloft,0.6786569952964783,citalopram,0.6988300085067749,EFFEXOR_XR,0.6727820634841919,prozac,0.5409265756607056,Xanax_Valium,0.6464685797691345,alprazolam_Xanax,0.6142414808273315,Flexeril,0.685975968837738,vitamin_D,0.6114075183868408,candesartan,0.6637043952941895
